pdb_id,label
1dcz,1
1gbx,2
1h6x,2
1ide,0
1ie0,3
1ihc,1
1ik6,0
1in5,2
1ix0,2
1npc,2
1pjr,2
1qlj,0
1ril,2
1sqm,2
1tya,5
1v2x,1
1vk2,2
1x1p,2
1x82,4
1zj4,2
237l,2
2au3,1
2ayy,1
2cjz,2
2ct7,1
2cxv,1
2e7u,4
2g5x,2
2nxc,1
2qoo,1
2qpw,1
2raa,0
2rf6,2
2wv2,0
2yqb,0
2zic,2
3a0x,1
3b09,4
3e9k,2
3ejf,1
3esd,2
3ewk,1
3fmx,0
3gyj,4
3h1d,1
3iak,2
3ilj,1
3kpc,1
3kt9,2
3mm3,0
3nqt,2
3nzm,1
3opp,2
3qu9,2
3sfk,0
3tjm,0
3ver,5
4ac3,1
4aw2,1
4edv,1
4epm,5
4m7t,0
4o33,1
4rt7,1
4xn5,2
4z4j,4
5aoy,2
5by0,2
5idv,2
5jeq,1
5jud,1
5kgu,2
5m0z,0
5wkw,3
5wup,2
5z9z,2
5zvx,4
6aca,2
6avx,2
6bdx,0
6bqc,1
6bsd,1
6caz,2
6cwu,2
6g1o,3
6ici,0
6ijm,2
6ilx,2
6jkx,2
6kuq,2
6nvu,2
6rfo,1
6rk4,2
6ssb,1
6ymf,1
6zjs,2
7auj,2
7ovy,2
7p0g,0
7q1h,3
7rts,2
7rw3,3
7s53,2
7vh2,2
7w4v,2
8b2t,1
8bk0,1
8djz,2
